disease_area,disease,phase,outcome_normalized,outcome_trial_count,phase_trial_count,percentage,outcome_position
Disorder of endocrine system,Metabolic Syndrome,Phase 4,CHANGE IN INSULIN SENSITIVITY,2,30,6.6667,20
Neoplastic disease,Metastatic Disease,Phase 1,OBJECTIVE RESPONSE RATE,19,27,70.3704,0
Neoplastic disease,Metastatic Disease,Phase 1,PROGRESSION-FREE SURVIVAL,13,27,48.1481,1
Neoplastic disease,Metastatic Disease,Phase 1,MAXIMUM PLASMA CONCENTRATION,10,27,37.0370,7
Neoplastic disease,Metastatic Disease,Phase 1,MAXIMUM TOLERATED DOSE,7,27,25.9259,8
Neoplastic disease,Metastatic Disease,Phase 1,OVERALL SURVIVAL,7,27,25.9259,2
Neoplastic disease,Metastatic Disease,Phase 1,DURATION OF RESPONSE,6,27,22.2222,3
Neoplastic disease,Metastatic Disease,Phase 1,TIME TO MAXIMUM CONCENTRATION,6,27,22.2222,10
Neoplastic disease,Metastatic Disease,Phase 2,OBJECTIVE RESPONSE RATE,122,169,72.1893,0
Neoplastic disease,Metastatic Disease,Phase 2,PROGRESSION-FREE SURVIVAL,105,169,62.1302,1
Neoplastic disease,Metastatic Disease,Phase 2,OVERALL SURVIVAL,81,169,47.9290,2
Neoplastic disease,Metastatic Disease,Phase 2,DURATION OF RESPONSE,47,169,27.8107,3
Neoplastic disease,Metastatic Disease,Phase 2,CLINICAL BENEFIT RATE,29,169,17.1598,4
Neoplastic disease,Metastatic Disease,Phase 2,DISEASE CONTROL RATE,23,169,13.6095,5
Neoplastic disease,Metastatic Disease,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,14,169,8.2840,6
Neoplastic disease,Metastatic Disease,Phase 3,OVERALL SURVIVAL,44,49,89.7959,2
Neoplastic disease,Metastatic Disease,Phase 3,PROGRESSION-FREE SURVIVAL,40,49,81.6327,1
Neoplastic disease,Metastatic Disease,Phase 3,OBJECTIVE RESPONSE RATE,38,49,77.5510,0
Neoplastic disease,Metastatic Disease,Phase 3,DURATION OF RESPONSE,21,49,42.8571,3
Neoplastic disease,Metastatic Disease,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,8,49,16.3265,6
Neoplastic disease,Metastatic Disease,Phase 3,CLINICAL BENEFIT RATE,7,49,14.2857,4
Neoplastic disease,Metastatic Disease,Phase 3,CHANGE IN EORTC QLQ-C30 SCORE,6,49,12.2449,9
Neoplastic disease,Metastatic Disease,Phase 4,OBJECTIVE RESPONSE RATE,1,1,100.0000,0
Neurological disorder,Migraine,Phase 1,MAXIMUM PLASMA CONCENTRATION,11,24,45.8333,6
Neurological disorder,Migraine,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,11,24,45.8333,0
Neurological disorder,Migraine,Phase 1,TIME TO MAXIMUM CONCENTRATION,9,24,37.5000,7
Neurological disorder,Migraine,Phase 1,AUC FROM 0 TO INFINITY,5,24,20.8333,10
Neurological disorder,Migraine,Phase 1,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,4,24,16.6667,2
Neurological disorder,Migraine,Phase 1,NUMBER OF PARTICIPANTS WHO DEVELOPED ANTI-DRUG ANTIBODIES,3,24,12.5000,18
Neurological disorder,Migraine,Phase 1,APPARENT HALF-LIFE,2,24,8.3333,19
Neurological disorder,Migraine,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,9,76,11.8421,0
Neurological disorder,Migraine,Phase 2,CHANGE IN HEADACHE FREQUENCY,6,76,7.8947,1
Neurological disorder,Migraine,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,5,76,6.5789,2
Neurological disorder,Migraine,Phase 2,PATIENT GLOBAL IMPRESSION OF CHANGE,5,76,6.5789,5
Neurological disorder,Migraine,Phase 2,PERCENTAGE OF PARTICIPANTS WITH AT LEAST A 50% REDUCTION IN MONTHLY MIGRAINE DAYS,5,76,6.5789,12
Neurological disorder,Migraine,Phase 2,CHANGE FROM BASELINE IN MONTHLY MIGRAINE DAYS,4,76,5.2632,13
Neurological disorder,Migraine,Phase 2,HEADACHE SEVERITY,4,76,5.2632,17
Neurological disorder,Migraine,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,18,134,13.4328,0
Neurological disorder,Migraine,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,16,134,11.9403,2
Neurological disorder,Migraine,Phase 3,PAIN RESPONSE RATE,15,134,11.1940,4
Neurological disorder,Migraine,Phase 3,CHANGE IN HEADACHE FREQUENCY,13,134,9.7015,1
Neurological disorder,Migraine,Phase 3,PATIENT GLOBAL IMPRESSION OF CHANGE,8,134,5.9701,5
Neurological disorder,Migraine,Phase 3,CHANGE IN PAIN SCORE,7,134,5.2239,3
Neurological disorder,Migraine,Phase 3,PERCENTAGE OF PARTICIPANTS WITH SUSTAINED PAIN FREEDOM,7,134,5.2239,8
Neurological disorder,Migraine,Phase 4,CHANGE IN PAIN SCORE,9,83,10.8434,3
Neurological disorder,Migraine,Phase 4,CHANGE IN HEADACHE FREQUENCY,7,83,8.4337,1
Neurological disorder,Migraine,Phase 4,PATIENT SATISFACTION,6,83,7.2289,9
Neurological disorder,Migraine,Phase 4,CHANGE IN NRS PAIN SCORE,5,83,6.0241,11
Neurological disorder,Migraine,Phase 4,CHANGE IN HIT-6 SCORE,4,83,4.8193,14
Neurological disorder,Migraine,Phase 4,CHANGE IN VAS PAIN SCORE,4,83,4.8193,15
Neurological disorder,Migraine,Phase 4,HEADACHE FREQUENCY,4,83,4.8193,16
Cardiovascular disease,Mitral Regurgitation,Phase 1,TERMINAL ELIMINATION HALF-LIFE,3,3,100.0000,1
Cardiovascular disease,Mitral Regurgitation,Phase 1,AUC FROM 0 TO INFINITY,2,3,66.6667,0
Cardiovascular disease,Mitral Regurgitation,Phase 1,MEAN RESIDENCE TIME,2,3,66.6667,4
Cardiovascular disease,Mitral Regurgitation,Phase 1,OVERALL CONTRAST QUALITY,2,3,66.6667,6
Cardiovascular disease,Mitral Regurgitation,Phase 1,ADDITIONAL DIAGNOSTIC GAIN,1,3,33.3333,8
Cardiovascular disease,Mitral Regurgitation,Phase 1,APPARENT ORAL CLEARANCE,1,3,33.3333,11
Cardiovascular disease,Mitral Regurgitation,Phase 1,APPARENT VOLUME OF DISTRIBUTION,1,3,33.3333,12
Cardiovascular disease,Mitral Regurgitation,Phase 2,DISEASE CONTROL RATE,2,4,50.0000,3
Cardiovascular disease,Mitral Regurgitation,Phase 2,OBJECTIVE RESPONSE RATE,2,4,50.0000,5
Cardiovascular disease,Mitral Regurgitation,Phase 2,ALL-CAUSE MORTALITY,1,4,25.0000,10
Cardiovascular disease,Mitral Regurgitation,Phase 2,CHANGE IN RU SATED SCORE,1,4,25.0000,19
Cardiovascular disease,Mitral Regurgitation,Phase 2,CHANGE IN VAS PAIN SCORE,1,4,25.0000,20
Cardiovascular disease,Mitral Regurgitation,Phase 2,COMPLETE RESPONSE,1,4,25.0000,21
Cardiovascular disease,Mitral Regurgitation,Phase 2,DEGREE OF LEFT VENTRICULAR REMODELING,1,4,25.0000,23
Cardiovascular disease,Mitral Regurgitation,Phase 3,CHANGE IN DIAGNOSIS,2,5,40.0000,2
Cardiovascular disease,Mitral Regurgitation,Phase 3,ACUTE KIDNEY INJURY,1,5,20.0000,7
Cardiovascular disease,Mitral Regurgitation,Phase 3,ADDITIONAL DIAGNOSTIC INFORMATION,1,5,20.0000,9
Cardiovascular disease,Mitral Regurgitation,Phase 3,AUC FROM 0 TO INFINITY,1,5,20.0000,0
Cardiovascular disease,Mitral Regurgitation,Phase 3,CARDIOVASCULAR MORTALITY,1,5,20.0000,15
Cardiovascular disease,Mitral Regurgitation,Phase 3,CHANGE IN DIAGNOSIS FROM UNENHANCED TO COMBINED IMAGES,1,5,20.0000,16
Cardiovascular disease,Mitral Regurgitation,Phase 3,CHANGE IN LEFT VENTRICULAR GLOBAL LONGITUDINAL STRAIN,1,5,20.0000,17
Cardiovascular disease,Mitral Regurgitation,Phase 4,AREA UNDER THE CURVE OF DOTAREM,1,4,25.0000,13
Cardiovascular disease,Mitral Regurgitation,Phase 4,BORDER DELINEATION SCORE,1,4,25.0000,14
Cardiovascular disease,Mitral Regurgitation,Phase 4,CHANGE IN NRS PAIN SCORE,1,4,25.0000,18
Cardiovascular disease,Mitral Regurgitation,Phase 4,CONFIDENCE IN DIAGNOSIS,1,4,25.0000,22
Cardiovascular disease,Mitral Regurgitation,Phase 4,DEGREE OF LESION CONTRAST ENHANCEMENT,1,4,25.0000,24
Cardiovascular disease,Mitral Regurgitation,Phase 4,DETECTION OF MALIGNANT DISEASE,1,4,25.0000,25
Cardiovascular disease,Mitral Regurgitation,Phase 4,IMAGE QUALITY COMPARISON,1,4,25.0000,26
Neoplastic disease,Multiple Myeloma,Phase 1,OBJECTIVE RESPONSE RATE,29,49,59.1837,0
Neoplastic disease,Multiple Myeloma,Phase 1,MAXIMUM PLASMA CONCENTRATION,15,49,30.6122,7
Neoplastic disease,Multiple Myeloma,Phase 1,DURATION OF RESPONSE,12,49,24.4898,3
Neoplastic disease,Multiple Myeloma,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,12,49,24.4898,5
Neoplastic disease,Multiple Myeloma,Phase 1,PROGRESSION-FREE SURVIVAL,12,49,24.4898,1
Neoplastic disease,Multiple Myeloma,Phase 1,TIME TO MAXIMUM CONCENTRATION,9,49,18.3673,8
Neoplastic disease,Multiple Myeloma,Phase 1,NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,8,49,16.3265,9
Neoplastic disease,Multiple Myeloma,Phase 2,OBJECTIVE RESPONSE RATE,127,286,44.4056,0
Neoplastic disease,Multiple Myeloma,Phase 2,PROGRESSION-FREE SURVIVAL,116,286,40.5594,1
Neoplastic disease,Multiple Myeloma,Phase 2,OVERALL SURVIVAL,91,286,31.8182,2
Neoplastic disease,Multiple Myeloma,Phase 2,DURATION OF RESPONSE,52,286,18.1818,3
Neoplastic disease,Multiple Myeloma,Phase 2,TIME TO PROGRESSION,45,286,15.7343,4
Neoplastic disease,Multiple Myeloma,Phase 2,COMPLETE RESPONSE RATE,28,286,9.7902,6
Neoplastic disease,Multiple Myeloma,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,24,286,8.3916,5
Neoplastic disease,Multiple Myeloma,Phase 3,PROGRESSION-FREE SURVIVAL,59,87,67.8161,1
Neoplastic disease,Multiple Myeloma,Phase 3,OVERALL SURVIVAL,53,87,60.9195,2
Neoplastic disease,Multiple Myeloma,Phase 3,OBJECTIVE RESPONSE RATE,42,87,48.2759,0
Neoplastic disease,Multiple Myeloma,Phase 3,DURATION OF RESPONSE,26,87,29.8851,3
Neoplastic disease,Multiple Myeloma,Phase 3,TIME TO PROGRESSION,23,87,26.4368,4
Neoplastic disease,Multiple Myeloma,Phase 3,COMPLETE RESPONSE RATE,14,87,16.0920,6
Neoplastic disease,Multiple Myeloma,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,11,87,12.6437,5
Neoplastic disease,Multiple Myeloma,Phase 4,CHANGE FROM BASELINE IN URINARY N-TELOPEPTIDE OF TYPE 1 COLLAGEN,1,5,20.0000,10
Neoplastic disease,Multiple Myeloma,Phase 4,COMPLETE RESPONSE RATE,1,5,20.0000,6
Neoplastic disease,Multiple Myeloma,Phase 4,FINANCIAL TOXICITY,1,5,20.0000,11
Neoplastic disease,Multiple Myeloma,Phase 4,GLOBAL HEALTH STATUS/QOL SCORE,1,5,20.0000,12
Neoplastic disease,Multiple Myeloma,Phase 4,NUMBER OF ADVERSE EVENTS,1,5,20.0000,13
Neoplastic disease,Multiple Myeloma,Phase 4,NUMBER OF PARTICIPANTS WITH DISEASE PROGRESSION,1,5,20.0000,14
Neoplastic disease,Multiple Myeloma,Phase 4,NUMBER OF PARTICIPANTS WITH MEDICATION ADHERENCE,1,5,20.0000,15
Disorder of body system,Multiple Organ Failure,Phase 1,INCIDENCE AND SEVERITY OF ADVERSE EVENTS,1,2,50.0000,17
Disorder of body system,Multiple Organ Failure,Phase 1,MDRO INFECTION STATUS,1,2,50.0000,22
Disorder of body system,Multiple Organ Failure,Phase 1,NUMBER OF PARTICIPANTS WITH PAIN,1,2,50.0000,23
Disorder of body system,Multiple Organ Failure,Phase 1,NUMBER OF PARTICIPANTS WITH SUCCESSFULLY PLACED EASI LINES,1,2,50.0000,24
Disorder of body system,Multiple Organ Failure,Phase 1,SYSTEMIC ABSORPTION OF TRACER-LABELLED GLUCOSE,1,2,50.0000,25
Disorder of body system,Multiple Organ Failure,Phase 2,28-DAY MORTALITY,1,2,50.0000,0
Disorder of body system,Multiple Organ Failure,Phase 2,90-DAY MORTALITY,1,2,50.0000,3
Disorder of body system,Multiple Organ Failure,Phase 2,CHANGE FROM BASELINE IN AMPK MUSCLE PROTEIN LEVELS,1,2,50.0000,6
Disorder of body system,Multiple Organ Failure,Phase 2,CHANGE FROM BASELINE IN PGC-1Α MUSCLE PROTEIN LEVELS,1,2,50.0000,7
Disorder of body system,Multiple Organ Failure,Phase 2,CHANGE FROM BASELINE IN SIRT1 MUSCLE PROTEIN LEVELS,1,2,50.0000,8
Disorder of body system,Multiple Organ Failure,Phase 2,CHANGE IN BLOOD GLUCOSE LEVEL,1,2,50.0000,10
Disorder of body system,Multiple Organ Failure,Phase 2,CHANGE IN CITRATE SYNTHASE ENZYMES,1,2,50.0000,12
Disorder of body system,Multiple Organ Failure,Phase 3,5-YEAR DISEASE-FREE SURVIVAL,1,3,33.3333,1
Disorder of body system,Multiple Organ Failure,Phase 3,6-MINUTE WALK DISTANCE,1,3,33.3333,2
Disorder of body system,Multiple Organ Failure,Phase 3,ASPARAGINASE-RELATED TOXICITY RATE,1,3,33.3333,4
Disorder of body system,Multiple Organ Failure,Phase 3,INDUCTION INFECTION TOXICITY RATE,1,3,33.3333,18
Disorder of body system,Multiple Organ Failure,Phase 3,INDUCTION THERAPEUTIC NADIR SERUM ASPARAGINASE ACTIVITY RATE,1,3,33.3333,19
Disorder of body system,Multiple Organ Failure,Phase 3,KNEE EXTENSION STRENGTH,1,3,33.3333,20
Disorder of body system,Multiple Organ Failure,Phase 3,KNEE FLEXION STRENGTH,1,3,33.3333,21
Disorder of body system,Multiple Organ Failure,Phase 4,AUC OF BLOOD CONCENTRATION-TIME OF METFORMIN,1,7,14.2857,5
Disorder of body system,Multiple Organ Failure,Phase 4,CHANGE IN ALPHA CORTICAL ACTIVITY,1,7,14.2857,9
Disorder of body system,Multiple Organ Failure,Phase 4,CHANGE IN CEREBRAL BLOOD FLOW,1,7,14.2857,11
Disorder of body system,Multiple Organ Failure,Phase 4,CHANGE IN COGNITIVE PERFORMANCE,1,7,14.2857,13
Disorder of body system,Multiple Organ Failure,Phase 4,COMPLIANCE RATE,1,7,14.2857,14
Disorder of body system,Multiple Organ Failure,Phase 4,DURATION OF TEMPORARY SUSPENSIONS,1,7,14.2857,15
Disorder of body system,Multiple Organ Failure,Phase 4,FEASIBILITY ASSESSED BY INFORMED CONSENTS,1,7,14.2857,16
Neurological disorder,Multiple Sclerosis,Phase 1,MAXIMUM PLASMA CONCENTRATION,4,12,33.3333,6
Neurological disorder,Multiple Sclerosis,Phase 1,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,4,12,33.3333,2
Neurological disorder,Multiple Sclerosis,Phase 1,PLASMA DRUG CONCENTRATION,4,12,33.3333,7
Neurological disorder,Multiple Sclerosis,Phase 1,TIME TO MAXIMUM CONCENTRATION,4,12,33.3333,13
Neurological disorder,Multiple Sclerosis,Phase 1,AUC FROM 0 TO INFINITY,3,12,25.0000,14
Neurological disorder,Multiple Sclerosis,Phase 1,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGES IN VITAL SIGNS,3,12,25.0000,15
Neurological disorder,Multiple Sclerosis,Phase 1,ANTI-DRUG ANTIBODIES,2,12,16.6667,16
Neurological disorder,Multiple Sclerosis,Phase 2,ANNUALIZED RELAPSE RATE,22,107,20.5607,0
Neurological disorder,Multiple Sclerosis,Phase 2,CHANGE IN EDSS SCORE,21,107,19.6262,1
Neurological disorder,Multiple Sclerosis,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,18,107,16.8224,2
Neurological disorder,Multiple Sclerosis,Phase 2,MRI LESION COUNT,13,107,12.1495,4
Neurological disorder,Multiple Sclerosis,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,7,107,6.5421,3
Neurological disorder,Multiple Sclerosis,Phase 2,MAXIMUM PLASMA CONCENTRATION,5,107,4.6729,6
Neurological disorder,Multiple Sclerosis,Phase 2,PLASMA DRUG CONCENTRATION,5,107,4.6729,7
Neurological disorder,Multiple Sclerosis,Phase 3,ANNUALIZED RELAPSE RATE,42,148,28.3784,0
Neurological disorder,Multiple Sclerosis,Phase 3,CHANGE IN EDSS SCORE,30,148,20.2703,1
Neurological disorder,Multiple Sclerosis,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,25,148,16.8919,3
Neurological disorder,Multiple Sclerosis,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,24,148,16.2162,2
Neurological disorder,Multiple Sclerosis,Phase 3,PERCENT CHANGE IN BRAIN VOLUME,16,148,10.8108,5
Neurological disorder,Multiple Sclerosis,Phase 3,MRI LESION COUNT,11,148,7.4324,4
Neurological disorder,Multiple Sclerosis,Phase 3,CHANGE FROM BASELINE IN MSFC SCORE,8,148,5.4054,8
Neurological disorder,Multiple Sclerosis,Phase 4,CHANGE IN EDSS SCORE,16,86,18.6047,1
Neurological disorder,Multiple Sclerosis,Phase 4,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,7,86,8.1395,3
Neurological disorder,Multiple Sclerosis,Phase 4,CHANGE IN QUALITY OF LIFE SCORE,6,86,6.9767,9
Neurological disorder,Multiple Sclerosis,Phase 4,TIME TO FIRST RELAPSE,6,86,6.9767,10
Neurological disorder,Multiple Sclerosis,Phase 4,ANNUALIZED RELAPSE RATE,5,86,5.8140,0
Neurological disorder,Multiple Sclerosis,Phase 4,CHANGE IN FATIGUE SCORE,4,86,4.6512,11
Neurological disorder,Multiple Sclerosis,Phase 4,CHANGE IN SF-36 SCORE,4,86,4.6512,12
Neurological disorder,Myasthenia Gravis,Phase 1,OVERALL SURVIVAL,2,4,50.0000,17
Neurological disorder,Myasthenia Gravis,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,1,4,25.0000,2
Neurological disorder,Myasthenia Gravis,Phase 1,RADIOLIGAND UPTAKE,1,4,25.0000,20
Neurological disorder,Myasthenia Gravis,Phase 1,UPTAKE OF [11C]MC1,1,4,25.0000,21
Neurological disorder,Myasthenia Gravis,Phase 1,WHOLE BRAIN VOLUME OF DISTRIBUTION,1,4,25.0000,22
Neurological disorder,Myasthenia Gravis,Phase 1,[11C]MC1 BINDING UPTAKE,1,4,25.0000,23
Neurological disorder,Myasthenia Gravis,Phase 2,CHANGE FROM BASELINE IN MG-ADL SCORE,5,35,14.2857,3
Neurological disorder,Myasthenia Gravis,Phase 2,CHANGE IN QMG SCORE,5,35,14.2857,0
Neurological disorder,Myasthenia Gravis,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,5,35,14.2857,2
Neurological disorder,Myasthenia Gravis,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,5,35,14.2857,5
Neurological disorder,Myasthenia Gravis,Phase 2,CHANGE FROM BASELINE IN QMG SCORE,3,35,8.5714,8
Neurological disorder,Myasthenia Gravis,Phase 2,MAXIMUM PLASMA CONCENTRATION,3,35,8.5714,4
Neurological disorder,Myasthenia Gravis,Phase 2,MEAN CHANGE IN MG-ADL SCORE,3,35,8.5714,12
Neurological disorder,Myasthenia Gravis,Phase 3,CHANGE FROM BASELINE IN MG-ADL TOTAL SCORE,6,33,18.1818,1
Neurological disorder,Myasthenia Gravis,Phase 3,CHANGE IN QMG SCORE,5,33,15.1515,0
Neurological disorder,Myasthenia Gravis,Phase 3,PERCENTAGE OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,5,33,15.1515,6
Neurological disorder,Myasthenia Gravis,Phase 3,TIME TO RECOVERY OF T4/T1 RATIO,4,33,12.1212,7
Neurological disorder,Myasthenia Gravis,Phase 3,CHANGE FROM BASELINE IN QMG TOTAL SCORE,3,33,9.0909,9
Neurological disorder,Myasthenia Gravis,Phase 3,CHANGE IN MG-ADL SCORE,3,33,9.0909,10
Neurological disorder,Myasthenia Gravis,Phase 3,CHANGE IN QMG TOTAL SCORE,3,33,9.0909,11
Neurological disorder,Myasthenia Gravis,Phase 4,APPARENT VOLUME OF DISTRIBUTION,2,26,7.6923,13
Neurological disorder,Myasthenia Gravis,Phase 4,AUC FROM 0 TO INFINITY,2,26,7.6923,14
Neurological disorder,Myasthenia Gravis,Phase 4,GLOBAL ASSESSMENT OF BENEFIT,2,26,7.6923,15
Neurological disorder,Myasthenia Gravis,Phase 4,MAXIMUM PLASMA CONCENTRATION,2,26,7.6923,4
Neurological disorder,Myasthenia Gravis,Phase 4,NEED FOR RETREATMENT,2,26,7.6923,16
Neurological disorder,Myasthenia Gravis,Phase 4,PATIENT COMPARISON OF BENEFIT,2,26,7.6923,18
Neurological disorder,Myasthenia Gravis,Phase 4,PATIENT VISUAL ANALOG ASSESSMENT OF PAIN,2,26,7.6923,19
Blood disease,Myelodysplastic Syndromes,Phase 1,OBJECTIVE RESPONSE RATE,10,25,40.0000,1
Blood disease,Myelodysplastic Syndromes,Phase 1,MAXIMUM PLASMA CONCENTRATION,9,25,36.0000,7
Blood disease,Myelodysplastic Syndromes,Phase 1,MAXIMUM TOLERATED DOSE,8,25,32.0000,8
Blood disease,Myelodysplastic Syndromes,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,5,25,20.0000,2
Blood disease,Myelodysplastic Syndromes,Phase 1,AREA UNDER THE CONCENTRATION-TIME CURVE,4,25,16.0000,10
Blood disease,Myelodysplastic Syndromes,Phase 1,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,4,25,16.0000,9
Blood disease,Myelodysplastic Syndromes,Phase 1,OVERALL SURVIVAL,4,25,16.0000,0
Blood disease,Myelodysplastic Syndromes,Phase 2,OVERALL SURVIVAL,48,154,31.1688,0
Blood disease,Myelodysplastic Syndromes,Phase 2,OBJECTIVE RESPONSE RATE,35,154,22.7273,1
Blood disease,Myelodysplastic Syndromes,Phase 2,PROGRESSION-FREE SURVIVAL,15,154,9.7403,3
Blood disease,Myelodysplastic Syndromes,Phase 2,DURATION OF RESPONSE,12,154,7.7922,4
Blood disease,Myelodysplastic Syndromes,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,12,154,7.7922,2
Blood disease,Myelodysplastic Syndromes,Phase 2,EVENT-FREE SURVIVAL,11,154,7.1429,5
Blood disease,Myelodysplastic Syndromes,Phase 2,COMPLETE REMISSION,10,154,6.4935,6
Blood disease,Myelodysplastic Syndromes,Phase 3,OVERALL SURVIVAL,13,30,43.3333,0
Blood disease,Myelodysplastic Syndromes,Phase 3,OBJECTIVE RESPONSE RATE,5,30,16.6667,1
Blood disease,Myelodysplastic Syndromes,Phase 3,CHANGE IN EORTC QLQ-C30 SCORE,4,30,13.3333,11
Blood disease,Myelodysplastic Syndromes,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,4,30,13.3333,2
Blood disease,Myelodysplastic Syndromes,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,4,30,13.3333,9
Blood disease,Myelodysplastic Syndromes,Phase 3,PROGRESSION-FREE SURVIVAL,4,30,13.3333,3
Blood disease,Myelodysplastic Syndromes,Phase 3,1-YEAR SURVIVAL RATE,3,30,10.0000,12
Blood disease,Myelodysplastic Syndromes,Phase 4,CLINICAL GLOBAL IMPRESSION-IMPROVEMENT,2,9,22.2222,13
Blood disease,Myelodysplastic Syndromes,Phase 4,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,2,9,22.2222,2
Blood disease,Myelodysplastic Syndromes,Phase 4,ABC SOCIAL AVOIDANCE SUBSCALE SCORE,1,9,11.1111,14
Blood disease,Myelodysplastic Syndromes,Phase 4,ABERRANT BEHAVIOR CHECKLIST SCORE,1,9,11.1111,15
Blood disease,Myelodysplastic Syndromes,Phase 4,ABSOLUTE CHANGE IN LIVER IRON CONCENTRATION,1,9,11.1111,16
Blood disease,Myelodysplastic Syndromes,Phase 4,ABSOLUTE CHANGE IN SERUM ERYTHROPOIETIN,1,9,11.1111,17
Blood disease,Myelodysplastic Syndromes,Phase 4,ABSOLUTE CHANGE IN SERUM FERRITIN,1,9,11.1111,18
Neoplastic disease,Myeloproliferative Neoplasms,Phase 1,AREA UNDER THE CONCENTRATION-TIME CURVE,1,2,50.0000,12
Neoplastic disease,Myeloproliferative Neoplasms,Phase 1,AUC FROM 0 TO INFINITY,1,2,50.0000,13
Neoplastic disease,Myeloproliferative Neoplasms,Phase 1,AUC0-12,1,2,50.0000,14
Neoplastic disease,Myeloproliferative Neoplasms,Phase 1,CHANGE IN URIC ACID LEVELS,1,2,50.0000,20
Neoplastic disease,Myeloproliferative Neoplasms,Phase 1,CLEARANCE (CL/F),1,2,50.0000,22
Neoplastic disease,Myeloproliferative Neoplasms,Phase 1,INHIBITION OF PSTAT3,1,2,50.0000,24
Neoplastic disease,Myeloproliferative Neoplasms,Phase 1,MAXIMUM PLASMA CONCENTRATION,1,2,50.0000,5
Neoplastic disease,Myeloproliferative Neoplasms,Phase 2,OBJECTIVE RESPONSE RATE,19,61,31.1475,0
Neoplastic disease,Myeloproliferative Neoplasms,Phase 2,OVERALL SURVIVAL,13,61,21.3115,1
Neoplastic disease,Myeloproliferative Neoplasms,Phase 2,PROGRESSION-FREE SURVIVAL,8,61,13.1148,3
Neoplastic disease,Myeloproliferative Neoplasms,Phase 2,DURATION OF RESPONSE,7,61,11.4754,4
Neoplastic disease,Myeloproliferative Neoplasms,Phase 2,MAXIMUM PLASMA CONCENTRATION,6,61,9.8361,5
Neoplastic disease,Myeloproliferative Neoplasms,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,6,61,9.8361,2
Neoplastic disease,Myeloproliferative Neoplasms,Phase 2,PATIENT GLOBAL IMPRESSION OF CHANGE,6,61,9.8361,6
Neoplastic disease,Myeloproliferative Neoplasms,Phase 3,OVERALL SURVIVAL,4,20,20.0000,1
Neoplastic disease,Myeloproliferative Neoplasms,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,3,20,15.0000,2
Neoplastic disease,Myeloproliferative Neoplasms,Phase 3,SPLENIC RESPONSE RATE,3,20,15.0000,7
Neoplastic disease,Myeloproliferative Neoplasms,Phase 3,TOTAL SYMPTOM SCORE RESPONSE RATE,3,20,15.0000,8
Neoplastic disease,Myeloproliferative Neoplasms,Phase 3,CHANGE FROM BASELINE IN MPN-SAF TSS,2,20,10.0000,9
Neoplastic disease,Myeloproliferative Neoplasms,Phase 3,CHANGE IN EORTC QLQ-C30 SCORE,2,20,10.0000,10
Neoplastic disease,Myeloproliferative Neoplasms,Phase 3,CHANGE IN TOTAL SYMPTOM SCORE,2,20,10.0000,11
