outcome_rank,outcome_category,outcome_normalized,start_year,trial_count
309,Mortality,PERCENTAGE OF PARTICIPANTS WHO DIED,2011,7
310,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN ECG PARAMETERS,2011,2
311,Treatment Adherence,MEDICATION ADHERENCE,2011,2
312,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,2011,5
313,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,2011,5
314,Disease Control,TECHNICAL SUCCESS,2011,3
315,Disease Activity Scores,CHANGE IN BASDAI SCORE,2011,4
316,Functional Status,CHANGE IN ECOG PERFORMANCE STATUS,2011,3
317,Remission/Cure,CLINICAL CURE RATE,2011,1
318,Biomarkers/Lab Values,INSULIN SENSITIVITY,2011,8
319,Treatment Adherence,NUMBER OF PARTICIPANTS COMPLETING TREATMENT,2011,2
320,Adverse Events/Safety,TOTAL SERIOUS ADVERSE EVENTS SUMMARY,2011,2
321,Symptoms/Pain,CHANGE IN DYSPNEA SCORE,2011,2
322,Biomarkers/Lab Values,CHANGE IN SERUM CREATININE,2011,2
323,Quality of Life/PRO,CHANGE IN SF-12 SCORE,2011,7
324,Mental Health Outcomes,CLINICIAN GLOBAL IMPRESSION,2011,5
325,Functional Status,CHANGE IN PHYSICAL ACTIVITY,2011,1
327,Other Clinical Endpoints,DEVICE SUCCESS,2011,8
328,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENT,2011,9
330,Vital Signs/Physical Measures,RESPIRATORY RATE,2011,1
331,Mortality,90-DAY MORTALITY,2011,3
332,Adverse Events/Safety,"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED UNSOLICITED ADVERSE EVENTS",2011,4
333,Symptoms/Pain,AVERAGE PAIN SCORE,2011,2
334,Vital Signs/Physical Measures,MEAN CHANGE IN BLOOD PRESSURE,2011,3
335,Response Rates,PSA RESPONSE RATE,2011,2
336,Pharmacokinetics,STEADY-STATE CONCENTRATION,2011,6
337,Pharmacokinetics,SYSTEMIC CLEARANCE,2011,5
338,Vital Signs/Physical Measures,TROUGH FEV1,2011,4
341,Mortality,NUMBER OF DEATHS,2011,4
343,Quality of Life/PRO,CHANGE IN FACIT-FATIGUE SCORE,2011,1
344,Response Rates,MEDIAN DURATION OF RESPONSE,2011,4
345,Adverse Events/Safety,NUMBER OF PARTICIPANTS WHO DISCONTINUED STUDY TREATMENT DUE TO AN AE,2011,1
347,Adverse Events/Safety,NUMBER OF TREATMENT EMERGENT ADVERSE EVENTS,2011,4
348,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,2011,5
349,Quality of Life/PRO,PITTSBURGH SLEEP QUALITY INDEX SCORE,2011,2
350,Response Rates,PROSTATE-SPECIFIC ANTIGEN RESPONSE,2011,4
351,Adverse Events/Safety,ESTIMATED BLOOD LOSS,2011,3
352,Response Rates,PERCENTAGE OF PATIENTS ACHIEVING TARGET,2011,5
353,Mental Health Outcomes,CLINICAL GLOBAL IMPRESSION - IMPROVEMENT,2011,4
354,Adverse Events/Safety,NUMBER OF PARTICIPANTS REPORTING ONE OR MORE TREATMENT-EMERGENT ADVERSE EVENTS,2011,3
355,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITY,2011,7
356,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG ABNORMALITIES,2011,2
357,Quality of Life/PRO,PATIENT GLOBAL IMPRESSION OF SEVERITY,2011,1
358,Biomarkers/Lab Values,PERCENT CHANGE IN NON-HDL CHOLESTEROL,2011,5
359,Pharmacokinetics,AUCINF,2011,1
360,Mental Health Outcomes,BECK DEPRESSION INVENTORY SCORE,2011,1
361,Functional Status,CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,2011,6
362,Functional Status,CHANGE IN BEST CORRECTED VISUAL ACUITY,2011,2
363,Adverse Events/Safety,NUMBER OF SUBJECTS WITH ANY UNSOLICITED ADVERSE EVENTS,2011,7
365,Immunogenicity,PERCENTAGE OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,2011,4
366,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN HEART RATE,2011,3
367,Vital Signs/Physical Measures,CHANGE IN BODY TEMPERATURE,2011,2
368,Mental Health Outcomes,CHANGE IN PERCEIVED STRESS SCORE,2011,1
369,Quality of Life/PRO,CLINICIAN GLOBAL IMPRESSION OF CHANGE,2011,6
370,Mental Health Outcomes,DEPRESSIVE SYMPTOMS,2011,2
371,Adverse Events/Safety,INCIDENCE OF TREATMENT EMERGENT ADVERSE EVENTS,2011,3
372,Adverse Events/Safety,TOTAL OPIOID CONSUMPTION,2011,1
374,Biomarkers/Lab Values,CHANGE FROM BASELINE IN CLINICAL CHEMISTRY PARAMETERS,2011,1
375,Vital Signs/Physical Measures,CHANGE IN INTRAOCULAR PRESSURE,2011,2
376,Vital Signs/Physical Measures,CHANGES IN FORCED VITAL CAPACITY,2011,5
377,Imaging Outcomes,LEFT VENTRICULAR EJECTION FRACTION,2011,6
378,Vital Signs/Physical Measures,MEAN ARTERIAL PRESSURE,2011,5
379,Vital Signs/Physical Measures,MEAN CHANGE IN HEART RATE,2011,3
380,Immunogenicity,NUMBER OF SEROCONVERTED SUBJECTS,2011,6
381,Hospitalization/Healthcare Use,PROCEDURE TIME,2011,6
383,Pharmacokinetics,AUC0-TZ,2011,3
384,Quality of Life/PRO,CHANGE IN SLEEP QUALITY SCORE,2011,2
385,Adverse Events/Safety,NUMBER OF SUBJECTS WITH UNSOLICITED ADVERSE EVENTS,2011,4
386,Microbiological/Virological,PERCENTAGE OF PARTICIPANTS WITH HCV RNA < LLOQ,2011,1
387,Survival/Time-to-Event,TIME TO FIRST EXACERBATION,2011,6
388,Adverse Events/Safety,TREATMENT DISCONTINUATION RATE,2011,1
389,Immunogenicity,VACCINE RESPONSE RATE,2011,3
390,Quality of Life/PRO,CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,2011,4
391,Hospitalization/Healthcare Use,DURATION OF HOSPITAL STAY,2011,4
392,Survival/Time-to-Event,MEDIAN SURVIVAL TIME,2011,4
393,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT RELATED ADVERSE EVENTS,2011,3
394,Hospitalization/Healthcare Use,OPERATIVE TIME,2011,5
395,Quality of Life/PRO,SLEEP QUALITY SCORE,2011,1
396,Survival/Time-to-Event,2-YEAR SURVIVAL RATE,2011,1
397,Vital Signs/Physical Measures,CHANGE IN RESPIRATORY RATE,2011,3
398,Quality of Life/PRO,CHANGE IN TREATMENT SATISFACTION SCORE,2011,6
399,Symptoms/Pain,CHANGE IN WOMAC STIFFNESS SCORE,2011,3
400,Hospitalization/Healthcare Use,DURATION OF MECHANICAL VENTILATION,2011,4
404,Pharmacokinetics,AUC(0-T),2011,2
406,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN SYSTOLIC AND DIASTOLIC BLOOD PRESSURE,2011,5
407,Biomarkers/Lab Values,CHANGE IN ALBUMIN AND TOTAL PROTEIN,2011,3
408,Biomarkers/Lab Values,CHANGE IN INSULIN SENSITIVITY,2011,4
409,Mental Health Outcomes,CHANGE IN SELF-EFFICACY SCORE,2011,1
410,Symptoms/Pain,INSOMNIA SEVERITY INDEX,2011,1
411,Functional Status,MEAN CHANGE IN BEST CORRECTED VISUAL ACUITY,2011,2
412,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG CHANGES,2011,5
413,Response Rates,PATHOLOGIC COMPLETE RESPONSE RATE,2011,1
414,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS REPORTING LOCAL REACTIONS,2011,1
415,Mortality,TRANSPLANT-RELATED MORTALITY,2011,5
416,Vital Signs/Physical Measures,VITAL SIGNS SUMMARY,2011,1
417,Survival/Time-to-Event,6-MONTH PROGRESSION-FREE SURVIVAL,2011,2
419,Quality of Life/PRO,CLINICAL GLOBAL IMPRESSION OF CHANGE,2011,1
420,Immunogenicity,GEOMETRIC MEAN TITER OF ANTIBODIES,2011,4
421,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE DRUG REACTIONS,2011,6
422,Biomarkers/Lab Values,PERCENT CHANGE IN FASTING TRIGLYCERIDES,2011,1
424,Immunogenicity,SEROPOSITIVITY RATE,2011,5
425,Hospitalization/Healthcare Use,VENTILATOR-FREE DAYS,2011,3
426,Pharmacokinetics,APPARENT TOTAL BODY CLEARANCE,2011,2
427,Biomarkers/Lab Values,CHANGE IN BNP,2011,5
428,Vital Signs/Physical Measures,CHANGE IN FORCED VITAL CAPACITY,2011,1
429,Mental Health Outcomes,DEPRESSION SCORE,2011,1
430,Disease Activity Scores,PERCENT CHANGE IN PASI SCORE,2011,3
431,Biomarkers/Lab Values,CHANGE IN BILIRUBIN AND CREATININE,2011,1
432,Symptoms/Pain,CHANGE IN INSOMNIA SEVERITY INDEX SCORE,2011,2
433,Functional Status,GRIP STRENGTH,2011,1
434,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS EXPERIENCING TREATMENT-EMERGENT ADVERSE EVENTS,2011,1
435,Biomarkers/Lab Values,CHANGE IN ALKALINE PHOSPHATASE,2011,1
436,Hospitalization/Healthcare Use,LENGTH OF ICU STAY,2011,3
438,Immunogenicity,NUMBER OF SEROPROTECTED SUBJECTS,2011,7
439,Adverse Events/Safety,NUMBER OF SUBJECTS WITH SOLICITED GENERAL SYMPTOMS,2011,2
440,Pharmacokinetics,TIME OF MAXIMUM CONCENTRATION,2011,2
441,Functional Status,TIMED UP AND GO TEST,2011,2
442,Biomarkers/Lab Values,CHANGE FROM BASELINE IN FASTING PLASMA GLUCOSE,2011,8
443,Biomarkers/Lab Values,CHANGE FROM BASELINE IN RED BLOOD CELL COUNT,2011,2
444,Disease Activity Scores,CHANGE IN SWOLLEN JOINT COUNT,2011,4
445,Response Rates,CONFIRMED RESPONSE RATE,2011,2
446,Imaging Outcomes,MRI LESION COUNT,2011,3
447,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH NON-SERIOUS ADVERSE EVENTS,2011,2
448,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS REPORTING SYSTEMIC EVENTS,2011,1
449,Mortality,28-DAY MORTALITY,2011,3
450,Pharmacokinetics,APPARENT VOLUME OF DISTRIBUTION (VZ/F),2011,1
451,Remission/Cure,CLINICAL CURE,2011,1
452,Survival/Time-to-Event,DURATION OF COMPLETE RESPONSE,2011,2
453,Biomarkers/Lab Values,MEAN CHANGE IN HEMOGLOBIN A1C,2011,2
454,Symptoms/Pain,PAIN INTERFERENCE SCORE,2011,1
455,Remission/Cure,PERCENTAGE OF PARTICIPANTS ACHIEVING CLINICAL REMISSION,2011,1
456,Adverse Events/Safety,RATE OF ADVERSE EVENTS,2011,2
457,Mortality,TIME TO DEATH,2011,2
458,Adverse Events/Safety,ANNUALIZED BLEEDING RATE,2011,3
459,Functional Status,CHANGE FROM BASELINE IN BCVA,2011,3
460,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN BODY WEIGHT,2011,4
461,Functional Status,CHANGE IN WOMAC PHYSICAL FUNCTION SCORE,2011,5
463,Adverse Events/Safety,DRUG-RELATED ADVERSE EVENTS,2011,3
464,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH INJECTION SITE REACTIONS,2011,1
465,Adverse Events/Safety,OCCURRENCE OF ADVERSE EVENTS,2011,3
467,Quality of Life/PRO,SLEEP DISTURBANCE SCORE,2011,3
469,Symptoms/Pain,APNEA-HYPOPNEA INDEX,2011,3
470,Response Rates,EULAR RESPONSE RATE,2011,4
471,Vital Signs/Physical Measures,MEAN HEART RATE,2011,3
472,Response Rates,PERCENTAGE OF PARTICIPANTS WITH RELAPSE,2011,1
473,Pharmacokinetics,TERMINAL PHASE ELIMINATION HALF-LIFE,2011,6
474,Response Rates,TREATMENT SUCCESS,2011,4
475,Functional Status,ACTIVITIES OF DAILY LIVING,2011,3
476,Biomarkers/Lab Values,CHANGE IN FASTING SERUM GLUCOSE,2011,2
477,Imaging Outcomes,CHANGE IN LEFT VENTRICULAR EJECTION FRACTION,2011,2
478,Disease Control,DURATION OF DISEASE CONTROL,2011,4
479,Treatment Adherence,DURATION OF TREATMENT,2011,4
480,Adverse Events/Safety,NUMBER OF DOSE LIMITING TOXICITIES,2011,4
481,Adverse Events/Safety,NUMBER OF SUBJECTS WITH SOLICITED LOCAL SYMPTOMS,2011,1
483,Mental Health Outcomes,ANXIETY SCORE,2011,1
484,Pharmacokinetics,AVERAGE PLASMA CONCENTRATION,2011,2
485,Disease Activity Scores,CHANGE IN TENDER JOINT COUNT,2011,4
486,Quality of Life/PRO,CHANGE IN WOMAC SCORE,2011,7
487,Mortality,IN-HOSPITAL MORTALITY,2011,3
488,Adverse Events/Safety,INCIDENCE AND SEVERITY OF ADVERSE EVENTS,2011,6
489,Response Rates,NUMBER OF PARTICIPANTS ACHIEVING TARGET,2011,3
490,Functional Status,PHYSICAL FUNCTION,2011,4
491,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN HEIGHT,2011,5
492,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN INTRAOCULAR PRESSURE,2011,1
494,Functional Status,CHANGE IN WHO FUNCTIONAL CLASS,2011,3
495,Functional Status,HARRIS HIP SCORE,2011,6
496,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH COMPLICATIONS,2011,1
497,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITY,2011,3
498,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SOLICITED LOCAL ADVERSE EVENTS,2011,1
499,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH AT LEAST ONE ADVERSE EVENT,2011,3
500,Pharmacokinetics,PLASMA TROUGH CONCENTRATION,2011,2
1,Response Rates,OBJECTIVE RESPONSE RATE,2012,337
2,Survival/Time-to-Event,OVERALL SURVIVAL,2012,320
3,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL,2012,320
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,2012,245
5,Pharmacokinetics,MAXIMUM PLASMA CONCENTRATION,2012,214
6,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,2012,116
7,Pharmacokinetics,TIME TO MAXIMUM CONCENTRATION,2012,124
8,Response Rates,DURATION OF RESPONSE,2012,101
9,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2012,73
10,Pharmacokinetics,AUC FROM 0 TO INFINITY,2012,89
11,Biomarkers/Lab Values,CHANGE IN HEMOGLOBIN A1C,2012,92
12,Vital Signs/Physical Measures,CHANGE IN BODY WEIGHT,2012,64
13,Pharmacokinetics,AREA UNDER THE CONCENTRATION-TIME CURVE,2012,63
14,Disease Control,DISEASE CONTROL RATE,2012,44
15,Pharmacokinetics,PLASMA DRUG CONCENTRATION,2012,47
16,Quality of Life/PRO,CHANGE IN QUALITY OF LIFE SCORE,2012,64
17,Symptoms/Pain,CHANGE IN VAS PAIN SCORE,2012,78
18,Quality of Life/PRO,PATIENT SATISFACTION,2012,60
19,Dose-Finding,MAXIMUM TOLERATED DOSE,2012,62
20,Symptoms/Pain,CHANGE IN PAIN SCORE,2012,53
21,Survival/Time-to-Event,TIME TO PROGRESSION,2012,46
22,Mortality,ALL-CAUSE MORTALITY,2012,43
23,Response Rates,PERCENTAGE OF PARTICIPANTS ACHIEVING TARGET,2012,59
24,Vital Signs/Physical Measures,CHANGE IN BLOOD PRESSURE,2012,38
25,Pharmacokinetics,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,2012,42
26,Biomarkers/Lab Values,CHANGE IN FASTING PLASMA GLUCOSE,2012,51
27,Adverse Events/Safety,NUMBER OF ADVERSE EVENTS,2012,53
28,Quality of Life/PRO,CHANGE IN SF-36 SCORE,2012,40
29,Response Rates,COMPLETE RESPONSE RATE,2012,40
30,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,2012,21
31,Vital Signs/Physical Measures,CHANGE IN HEART RATE,2012,26
32,Biomarkers/Lab Values,CHANGE IN HEMOGLOBIN,2012,31
33,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH ADVERSE EVENTS,2012,51
34,Immunogenicity,SEROCONVERSION RATE,2012,38
35,Pharmacokinetics,VOLUME OF DISTRIBUTION,2012,35
36,Response Rates,CLINICAL BENEFIT RATE,2012,39
37,Quality of Life/PRO,CHANGE IN EQ-5D SCORE,2012,47
38,Hospitalization/Healthcare Use,LENGTH OF HOSPITAL STAY,2012,28
39,Vital Signs/Physical Measures,CHANGE IN BODY MASS INDEX,2012,22
40,Quality of Life/PRO,PATIENT GLOBAL IMPRESSION OF CHANGE,2012,36
41,Symptoms/Pain,CHANGE IN NRS PAIN SCORE,2012,29
42,Response Rates,SUSTAINED VIROLOGIC RESPONSE,2012,53
43,Adverse Events/Safety,DOSE-LIMITING TOXICITIES,2012,26
44,Biomarkers/Lab Values,CHANGE IN LDL CHOLESTEROL,2012,24
45,Survival/Time-to-Event,EVENT-FREE SURVIVAL,2012,27
46,Immunogenicity,SEROPROTECTION RATE,2012,31
47,Functional Status,CHANGE IN 6-MINUTE WALK DISTANCE,2012,27
48,Response Rates,TIME TO RESPONSE,2012,30
49,Survival/Time-to-Event,DISEASE-FREE SURVIVAL,2012,31
50,Pharmacokinetics,APPARENT VOLUME OF DISTRIBUTION,2012,17
51,Mental Health Outcomes,CHANGE IN MADRS SCORE,2012,22
52,Biomarkers/Lab Values,CHANGE IN CRP,2012,27
53,Immunogenicity,ANTI-DRUG ANTIBODIES,2012,14
54,Biomarkers/Lab Values,CHANGE IN TRIGLYCERIDES,2012,16
55,Mental Health Outcomes,CHANGE IN PHQ-9 SCORE,2012,10
56,Biomarkers/Lab Values,CHANGE IN TOTAL CHOLESTEROL,2012,21
57,Response Rates,ACR20 RESPONSE,2012,34
58,Biomarkers/Lab Values,CHANGE IN HDL CHOLESTEROL,2012,14
59,Pharmacokinetics,HALF-LIFE,2012,14
60,Disease Activity Scores,CHANGE IN DAS28 SCORE,2012,39
61,Vital Signs/Physical Measures,CHANGE IN SYSTOLIC BLOOD PRESSURE,2012,14
62,Pharmacokinetics,CLEARANCE,2012,19
63,Functional Status,CHANGE IN HAQ-DI SCORE,2012,33
64,Biomarkers/Lab Values,CHANGE IN VIRAL LOAD,2012,9
65,Treatment Adherence,TREATMENT ADHERENCE RATE,2012,16
66,Biomarkers/Lab Values,CHANGE IN ALT,2012,8
67,Survival/Time-to-Event,MEDIAN OVERALL SURVIVAL,2012,19
68,Vital Signs/Physical Measures,CHANGE IN WAIST CIRCUMFERENCE,2012,5
69,Adverse Events/Safety,INCIDENCE OF ADVERSE EVENTS,2012,14
70,Biomarkers/Lab Values,CHANGE IN CD4 COUNT,2012,17
71,Biomarkers/Lab Values,NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,2012,16
72,Pharmacokinetics,TROUGH CONCENTRATION,2012,10
73,Pharmacokinetics,TERMINAL HALF-LIFE,2012,14
74,Quality of Life/PRO,QUALITY OF LIFE SCORE,2012,16
75,Biomarkers/Lab Values,CHANGE IN EGFR,2012,18
76,Mental Health Outcomes,CHANGE IN HAM-D SCORE,2012,18
77,Survival/Time-to-Event,TIME TO TREATMENT FAILURE,2012,10
78,Symptoms/Pain,PAIN RESPONSE RATE,2012,22
79,Response Rates,IGA RESPONSE,2012,11
80,Response Rates,ACR50 RESPONSE,2012,27
81,Immunogenicity,ANTIBODY TITER,2012,11
82,Vital Signs/Physical Measures,CHANGE IN DIASTOLIC BLOOD PRESSURE,2012,9
83,Response Rates,PASI 75 RESPONSE,2012,20
84,Pharmacokinetics,ACCUMULATION RATIO,2012,17
85,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,2012,7
86,Pharmacokinetics,TERMINAL ELIMINATION HALF-LIFE,2012,8
87,Biomarkers/Lab Values,CHANGE IN CREATININE,2012,14
88,Quality of Life/PRO,CHANGE IN DLQI SCORE,2012,16
89,Response Rates,ACR70 RESPONSE,2012,22
90,Mental Health Outcomes,CHANGE IN GAD-7 SCORE,2012,2
91,Survival/Time-to-Event,MEDIAN PROGRESSION-FREE SURVIVAL,2012,11
92,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,2012,12
93,Symptoms/Pain,CHANGE IN BPI SCORE,2012,8
94,Immunogenicity,NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,2012,13
95,Remission/Cure,COMPLETE REMISSION,2012,13
96,Imaging Outcomes,CHANGE IN BONE MINERAL DENSITY,2012,10
97,Quality of Life/PRO,CHANGE IN EORTC QLQ-C30 SCORE,2012,13
98,Biomarkers/Lab Values,PERCENTAGE OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,2012,9
99,Biomarkers/Lab Values,CHANGE IN AST,2012,7
100,Mental Health Outcomes,CHANGE IN PANSS SCORE,2012,19
101,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,2012,10
102,Adverse Events/Safety,GRADE 3 OR HIGHER ADVERSE EVENTS,2012,9
103,Vital Signs/Physical Measures,SYSTOLIC BLOOD PRESSURE,2012,9
104,Treatment Adherence,PERCENTAGE OF PARTICIPANTS COMPLETING TREATMENT,2012,11
105,Mental Health Outcomes,CHANGE IN MMSE SCORE,2012,12
106,Pharmacokinetics,MEAN RESIDENCE TIME,2012,13
107,Biomarkers/Lab Values,CHANGE IN PLATELET COUNT,2012,3
108,Response Rates,COMPLETE RESPONSE,2012,14
109,Dose-Finding,RECOMMENDED PHASE 2 DOSE,2012,13
110,Immunogenicity,IMMUNE RESPONSE RATE,2012,17
111,Pharmacokinetics,RENAL CLEARANCE,2012,10
112,Biomarkers/Lab Values,PERCENT CHANGE IN LDL CHOLESTEROL,2012,22
113,Treatment Adherence,COMPLIANCE RATE,2012,7
114,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,2012,4
115,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN FEV1,2012,16
116,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH UNSOLICITED ADVERSE EVENTS,2012,5
117,Remission/Cure,CLINICAL REMISSION,2012,11
118,Response Rates,RESPONDER RATE,2012,12
119,Quality of Life/PRO,FATIGUE,2012,4
120,Functional Status,6-MINUTE WALK DISTANCE,2012,5
121,Pharmacokinetics,MAXIMUM SERUM CONCENTRATION,2012,6
122,Response Rates,PATHOLOGICAL COMPLETE RESPONSE,2012,7
123,Vital Signs/Physical Measures,DIASTOLIC BLOOD PRESSURE,2012,9
124,Adverse Events/Safety,INJECTION SITE REACTIONS,2012,7
125,Pharmacokinetics,MAXIMUM OBSERVED SERUM CONCENTRATION,2012,8
126,Symptoms/Pain,PAIN SCORE,2012,16
127,Hospitalization/Healthcare Use,HOSPITAL LENGTH OF STAY,2012,10
128,Biomarkers/Lab Values,CHANGE IN WHITE BLOOD CELL COUNT,2012,7
129,Response Rates,PASI 90 RESPONSE,2012,6
130,Symptoms/Pain,CHANGE IN WOMAC PAIN SCORE,2012,9
131,Mortality,30-DAY MORTALITY,2012,8
132,Imaging Outcomes,CHANGE IN EJECTION FRACTION,2012,9
133,Biomarkers/Lab Values,CHANGE IN ALBUMIN,2012,6
134,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2012,6
135,Vital Signs/Physical Measures,CHANGE IN TEMPERATURE,2012,4
136,Adverse Events/Safety,TOTAL ADVERSE EVENTS SUMMARY,2012,7
137,Pharmacokinetics,TIME TO MAXIMUM PLASMA CONCENTRATION,2012,9
138,Mental Health Outcomes,SUICIDAL IDEATION ASSESSMENT,2012,8
139,Mental Health Outcomes,CHANGE IN HAM-A SCORE,2012,4
140,Disease Activity Scores,CHANGE IN CDAI SCORE,2012,23
141,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN BLOOD PRESSURE,2012,11
142,Mental Health Outcomes,CHANGE IN MOCA SCORE,2012,7
143,Mental Health Outcomes,CHANGE IN ADAS-COG SCORE,2012,7
144,Adverse Events/Safety,INCIDENCE OF TREATMENT-EMERGENT ADVERSE EVENTS,2012,3
145,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ABNORMAL ECG FINDINGS,2012,5
146,Immunogenicity,GEOMETRIC MEAN TITERS,2012,9
147,Quality of Life/PRO,CHANGE IN SGRQ SCORE,2012,13
148,Pharmacokinetics,APPARENT CLEARANCE,2012,7
149,Survival/Time-to-Event,1-YEAR SURVIVAL RATE,2012,5
150,Response Rates,BEST OVERALL RESPONSE RATE,2012,11
151,Biomarkers/Lab Values,CHANGE FROM BASELINE IN HEMATOCRIT,2012,7
152,Biomarkers/Lab Values,CHANGE IN BILIRUBIN,2012,5
153,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,2012,14
154,Hospitalization/Healthcare Use,HOSPITALIZATION RATE,2012,3
155,Adverse Events/Safety,NUMBER OF PATIENTS WITH ADVERSE EVENTS,2012,11
156,Mental Health Outcomes,CHANGE IN YMRS SCORE,2012,10
157,Pharmacokinetics,APPARENT TERMINAL HALF-LIFE,2012,9
158,Biomarkers/Lab Values,PERCENT CHANGE IN TOTAL CHOLESTEROL,2012,16
159,Pharmacokinetics,TROUGH PLASMA CONCENTRATION,2012,5
160,Adverse Events/Safety,NUMBER OF SERIOUS ADVERSE EVENTS,2012,10
161,Adverse Events/Safety,DOSE-LIMITING TOXICITY,2012,9
162,Immunogenicity,GEOMETRIC MEAN TITER,2012,9
163,Microbiological/Virological,VIRAL SUPPRESSION RATE,2012,5
164,Biomarkers/Lab Values,PERCENT CHANGE IN HDL CHOLESTEROL,2012,17
165,Treatment Adherence,RETENTION RATE,2012,2
166,Biomarkers/Lab Values,CHANGE IN FERRITIN,2012,10
167,Adverse Events/Safety,NUMBER OF SUBJECTS WITH ANY AND GRADE 3 SOLICITED LOCAL SYMPTOMS,2012,5
168,Survival/Time-to-Event,TIME TO NEXT TREATMENT,2012,4
169,Mortality,CARDIOVASCULAR MORTALITY,2012,11
171,Pharmacokinetics,ELIMINATION HALF-LIFE,2012,5
172,Response Rates,PARTIAL RESPONSE RATE,2012,9
173,Vital Signs/Physical Measures,CHANGE IN PULSE RATE,2012,2
174,Mental Health Outcomes,DEPRESSION RESPONSE RATE,2012,5
175,Biomarkers/Lab Values,CHANGE IN ESR,2012,10
176,Symptoms/Pain,CHANGE IN PRURITUS SCORE,2012,4
177,Survival/Time-to-Event,MEDIAN PROGRESSION FREE SURVIVAL,2012,7
178,Pharmacokinetics,TOTAL BODY CLEARANCE,2012,6
179,Pharmacokinetics,APPARENT ORAL CLEARANCE,2012,6
180,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN TROUGH FEV1,2012,14
181,Vital Signs/Physical Measures,CHANGE IN FEV1,2012,5
182,Response Rates,CLINICAL RESPONSE RATE,2012,11
183,Biomarkers/Lab Values,PERCENT CHANGE IN TRIGLYCERIDES,2012,6
184,Pharmacokinetics,VOLUME OF DISTRIBUTION AT STEADY STATE,2012,6
185,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN PULSE RATE,2012,8
