term,prompt,EXPLANATION,GROUP
progression free survival,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: progression free survival

Similar terms for context:
progression free survival (1.00), progression free-survival (1.00), progression-free survival (0.99), progression-free-survival (0.99), progression-free survivors (0.96)

Standardized groups:
Progression-free Survival (PFS) (0.51), Overall Survival (OS) (0.42), Remission (0.40), Time to Progression (TTP) (0.36), QOL (0.35)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Matches a known survival measure.,Progression-free Survival (PFS)
sodium,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: sodium

Similar terms for context:
sodium (1.00), sodium concentration (0.94), sodium levels (0.94), sodium serum (0.94), sodium level (0.94)

Standardized groups:
Concentration (0.33), QOL (0.32), Maximum Concentration (0.31), Plasma Concentration (0.30), Glucose (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measurement of sodium levels.,Concentration
iga score,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: iga score

Similar terms for context:
iga score (1.00), i-iga score (0.99), iga scores (0.99), iga-c score (0.96), iga-che score (0.95)

Standardized groups:
QOL (0.34), HRQoL (0.32), Immunogenicity (0.30), Antibody Titers (0.29), Improvement (0.28)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Investigator’s Global Assessment for disease severity.,Disease Activity
feasibility,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: feasibility

Similar terms for context:
feasibility (1.00), feasibility/acceptability (0.95), feasibility evaluation (0.94), feasibility and acceptability (0.93), feasibility of implementation (0.93)

Standardized groups:
Tolerability (0.38), QOL (0.36), HRQoL (0.34), Improvement (0.34), Immunogenicity (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures how practical or achievable something is.,Feasibility
hypoglycaemic episodes,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: hypoglycaemic episodes

Similar terms for context:
hypoglycaemic episodes (1.00), hypoglycemic episodes (1.00), hypoglycaemia episodes (1.00), episodes of hypoglycaemia (0.99), hypoglycemia episodes (0.99)

Standardized groups:
Glucose (0.38), Adverse Events (AEs) (0.33), Remission (0.33), Serious Adverse Events (SAEs) (0.31), Event Occurrence (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Occurrence of low blood sugar events.,Event Occurrence
antibody,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: antibody

Similar terms for context:
antibody (1.00), antibodies (0.98), antibody reaction (0.94), antibody titre (0.94), antibody (igg) (0.93)

Standardized groups:
Antibody Titers (0.53), Immunogenicity (0.44), Remission (0.33), QOL (0.31), Pharmacokinetics (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Refers to antibody measurement.,Antibody Titers
acceptability,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: acceptability

Similar terms for context:
acceptability (1.00), acceptability degree (0.93), acceptability outcome (0.93), feasibility/acceptability (0.92), acceptability rating (0.92)

Standardized groups:
Tolerability (0.52), Feasibility (0.45), QOL (0.40), HRQoL (0.38), Improvement (0.35)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",How acceptable an intervention is.,Acceptability
laboratory glucose method,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: laboratory glucose method

Similar terms for context:
laboratory glucose method (1.00), glucose method (0.94), glucose laboratory value (0.92), glucose laboratory values (0.91), glucose measurement (0.90)

Standardized groups:
Glucose (0.51), Pharmacokinetics (0.33), Plasma Concentration (0.32), Triglyceride Concentration (0.32), Toxicity Measurement (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measurement of glucose (laboratory method).,Glucose
radioactivity,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: radioactivity

Similar terms for context:
radioactivity (1.00), radiological activity (0.94), radiation activity (0.94), radiation (0.93), radioactivity dose (0.93)

Standardized groups:
Toxicity Measurement (0.33), Remission (0.32), Disease Activity (0.31), Pharmacokinetics (0.31), QOL (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measuring levels of radioactivity or radiation.,Radiation Measurement
tumor response,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: tumor response

Similar terms for context:
tumor response (1.00), tumour response (1.00), tumor responses (0.99), tumor treatment response (0.97), tumor response to treatment (0.96)

Standardized groups:
Clinical Response (0.47), Remission (0.40), Progression-free Survival (PFS) (0.40), Overall/Objective Response Rate (ORR/OR) (0.34), Overall Survival (OS) (0.34)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",How tumors respond to treatment.,Tumor Response
oxymorphone,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: oxymorphone

Similar terms for context:
oxymorphone (1.00), oxycodone (0.95), oxycondone (0.95), oxymorphone t1/2 (0.92), hydroxymorphine (0.92)

Standardized groups:
Pharmacokinetics (0.37), Pain (0.35), Remission (0.34), QOL (0.33), Overall/Objective Response Rate (ORR/OR) (0.33)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",An opioid analgesic measure related to pain treatment.,Pain
disease-free survival,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: disease-free survival

Similar terms for context:
disease-free survival (1.00), disease free survival (1.00), disease-free survival rates (0.96), disease-free survival event (0.95), infection-free survival (0.95)

Standardized groups:
Progression-free Survival (PFS) (0.44), Remission (0.43), Overall Survival (OS) (0.41), QOL (0.38), Disease Activity (0.36)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Time a patient remains free of disease.,Disease-Free Survival
change,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: change

Similar terms for context:
change (1.00), changes (0.96), alteration (0.92), change of condition (0.90), mean change (0.90)

Standardized groups:
Change from Baseline (0.50), Improvement (0.40), QOL (0.31), Remission (0.29), Feasibility (0.28)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Generic measure of alteration from a prior state.,NOA
qt interval,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: qt interval

Similar terms for context:
qt interval (1.00), qt intervals (0.99), qt/qtc interval (0.98), qtc interval (0.98), qtc intervals (0.97)

Standardized groups:
QTc Interval (0.64), QOL (0.43), Time to Progression (TTP) (0.40), HRQoL (0.40), Time to Maximum (0.37)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures the QT interval on ECG.,ECG measurement
weight,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: weight

Similar terms for context:
weight (1.00), weight measurement (0.95), body weight (0.95), weight status (0.93), weight category (0.92)

Standardized groups:
Body Weight (0.57), QOL (0.34), Concentration (0.33), Pain (0.31), Feasibility (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measurement of a patient’s weight.,Body Weight
